cluster_id,slot,weekday_kwh,weekend_kwh
ACORN-U,0,0.17107784431137724,0.23291071428571428
ACORN-U,1,0.14079999999999998,0.17401785714285717
ACORN-U,2,0.12465,0.14514285714285716
ACORN-U,3,0.1106625,0.14798214285714284
ACORN-U,4,0.10778125000000001,0.14094643035714285
ACORN-U,5,0.10975776397515527,0.10650000000000001
ACORN-U,6,0.10277018633540372,0.12153571428571429
ACORN-U,7,0.10586335403726709,0.11108928571428571
ACORN-U,8,0.11178260869565217,0.11178571428571428
ACORN-U,9,0.10785093229813664,0.10928571428571429
ACORN-U,10,0.1022360248447205,0.10771428571428572
ACORN-U,11,0.10320496894409938,0.10305357142857142
ACORN-U,12,0.13290683229813666,0.10353571428571429
ACORN-U,13,0.3187888192546584,0.12369642857142858
ACORN-U,14,0.2065031055900621,0.13128571428571428
ACORN-U,15,0.20382608695652177,0.17326785714285714
ACORN-U,16,0.2459503105590062,0.2709821428571429
ACORN-U,17,0.27069565217391306,0.23283928571428572
ACORN-U,18,0.35881366211180127,0.20755357142857142
ACORN-U,19,0.2828447198757764,0.2029642857142857
ACORN-U,20,0.2224844708074534,0.32907142857142857
ACORN-U,21,0.2199503099378882,0.38887500178571427
ACORN-U,22,0.22344099440993787,0.3795892875
ACORN-U,23,0.21888198757763977,0.3364642821428571
ACORN-U,24,0.22133540248447206,0.41051785714285716
ACORN-U,25,0.2535217391304348,0.3024464285714286
ACORN-U,26,0.24890683229813662,0.2905535696428571
ACORN-U,27,0.2479441,0.30719642857142854
ACORN-U,28,0.23709316832298136,0.30580357142857145
ACORN-U,29,0.23733540310559004,0.33289285714285716
ACORN-U,30,0.24593788881987577,0.27716071428571426
ACORN-U,31,0.23722360248447202,0.28344642857142854
ACORN-U,32,0.26712422360248445,0.29291071428571425
ACORN-U,33,0.29165838447204967,0.28098214285714285
ACORN-U,34,0.31883850931677016,0.35448214285714286
ACORN-U,35,0.3528695658385093,0.4050357160714286
ACORN-U,36,0.382167702484472,0.37783928214285717
ACORN-U,37,0.39668322919254656,0.43591071607142856
ACORN-U,38,0.39664596211180125,0.3680178571428572
ACORN-U,39,0.3757142857142857,0.3821964267857143
ACORN-U,40,0.3593478260869565,0.40716071428571426
ACORN-U,41,0.38288819937888197,0.3987818181818182
ACORN-U,42,0.3534968950310559,0.35948214285714286
ACORN-U,43,0.33498757826086956,0.38525
ACORN-U,44,0.32221118012422356,0.3165090890909091
